Unnamed: 0,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_fec,candidate_fec_name
1849258,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,801 - BOBTOWN,[Write-in],in,US President,statewide,True,,total,4,,
1849259,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,801 - BOBTOWN,Evan McMullin,mcmullin,US President,statewide,False,independent,total,3,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849260,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,802 - MELFA,Hillary Clinton,clinton,US President,statewide,False,democratic,total,436,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849261,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,802 - MELFA,Gary Johnson,johnson,US President,statewide,False,libertarian,total,14,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849262,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,802 - MELFA,Jill Stein,stein,US President,statewide,False,green,total,0,P20003984,"STEIN, JILL"
1849263,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,802 - MELFA,Donald Trump,trump,US President,statewide,False,republican,total,392,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849264,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,802 - MELFA,[Write-in],in,US President,statewide,True,,total,3,,
1849265,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,802 - MELFA,Evan McMullin,mcmullin,US President,statewide,False,independent,total,5,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849266,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,803 - WACHAPREAGUE,Hillary Clinton,clinton,US President,statewide,False,democratic,total,138,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849267,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,803 - WACHAPREAGUE,Gary Johnson,johnson,US President,statewide,False,libertarian,total,6,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849268,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,803 - WACHAPREAGUE,Jill Stein,stein,US President,statewide,False,green,total,0,P20003984,"STEIN, JILL"
1849269,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,803 - WACHAPREAGUE,Donald Trump,trump,US President,statewide,False,republican,total,349,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849270,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,803 - WACHAPREAGUE,[Write-in],in,US President,statewide,True,,total,1,,
1849271,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,803 - WACHAPREAGUE,Evan McMullin,mcmullin,US President,statewide,False,independent,total,2,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849272,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,901 - PAINTER,Hillary Clinton,clinton,US President,statewide,False,democratic,total,1042,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849273,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,901 - PAINTER,Gary Johnson,johnson,US President,statewide,False,libertarian,total,24,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849274,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,901 - PAINTER,Jill Stein,stein,US President,statewide,False,green,total,4,P20003984,"STEIN, JILL"
1849275,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,901 - PAINTER,Donald Trump,trump,US President,statewide,False,republican,total,618,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849276,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,901 - PAINTER,[Write-in],in,US President,statewide,True,,total,0,,
1849277,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,901 - PAINTER,Evan McMullin,mcmullin,US President,statewide,False,independent,total,10,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849278,Virginia,VA,51,40,Albemarle County,51003.0,1675170.0,38.02418,-78.55351,ALBEMARLE COUNTY,# AB - Central Absentee Precinct,Hillary Clinton,clinton,US President,statewide,False,democratic,total,4707,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
